paper_id,Paper,Year,Category,Link,local_file,pages_sections,review_status,delta_category,Cancer_cohort,N,Assay,Input_datatype,Ground_truth_HRD_definition,HRD_calculation_method,LOH_definition,LST_definition,TAI_definition,Upstream_allele_specific_CN_method,Purity_ploidy_correction,CNV_method,Methylation_preprocessing,Raw_IDAT_MU_requirement,RNA_preprocessing,Model_class,Feature_selection,Training_strategy,Validation_strategy,Cross_validation_design,External_validation,Performance_metrics,Calibration_uncertainty,Single_sample_compatible,Cross_cancer_compatible,Code_software,Synthetic_data_relevance,Major_strengths,Major_limitations,Direct_relevance_KIDS26,Implementation_ideas,documented_fact,inference,recommendation
L11,Inferring Homologous Recombination Deficiency of Ovarian Cancer From the Landscape of Copy Number Variation at Subchromosomal and Genetic Resolutions.,2022,HRD / CNV,https://pubmed.ncbi.nlm.nih.gov/34976815/,../papers/2022_Inferring_Homologous_Recombination_Deficiency_of_Ovarian_Cancer_From_the_Landsca.pdf,pp. 1-3,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,TCGA OV; AOCS; pan-cancer,"587 TCGA OV CNV; 93 AOCS, labels in 80",Genomic CNV,Not established in reviewed material,TCGA scar vs AOCS mutations/methylation,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,"TCGA discovery, AOCS association replication",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,CNV association precedent,Not established in reviewed material,8q24.2/5q13.2/19q12 events associate with OV HRD. External labels differ. PDF date is December 2021; CSV says 2022.,Cross-cohort association is not calibration of the same continuous endpoint.,Keep ovarian loci exploratory.
L12,Genomic Scar Score: A robust model predicting homologous recombination deficiency based on genomic instability.,2023,HRD / ML,https://pubmed.ncbi.nlm.nih.gov/36485068/,../papers/BJOG - 2022 - Yuan - Genomic Scar Score  A robust model predicting homologous recombination deficiency based on genomic.pdf,pp. 1-7; Methods pp. 2-4,Newly available full article; methods/results reviewed,CONFIRMS CURRENT PLAN,Ovarian and breast development; ovarian PARPi cohort,"377 unique development/test patients (305 on 24K, 203 on 72K, 131 overlapping); training extremes 96; independent extreme test 89; PARPi cohort 58",24K or 72K genome-distributed SNP capture panels,"Sequenza allele-specific CN, BAF, purity and ploidy",gBRCA biallelic deficiency versus quiescent genomes for SVM training,GSS is an SVM probability from 28 categorized allele-specific CN features; not LOH+LST+TAI HRDsum,Not a canonical standalone component; LOH-related event categories enter the 28-feature SVM,Not a canonical standalone component; breakpoints enter the feature set,Not a canonical standalone component,Sequenza v3 on hg19 using read depth and B-allele frequency,Sequenza estimates purity and ploidy; values are explicit inputs/context,"Sequenza v3 hg19, default parameters, read depth plus BAF",Not established in reviewed material,No methylation arrays; 24K/72K SNP-capture reads required,Not established in reviewed material,Linear support vector machine,CN events by length/site/type plus breakpoints; features retained only if occurrence count exceeded training N,Penalty C chosen by three-fold internal CV; extremes used for training,Independent BRCA-deficient/quiescent test; panel concordance; separate PARPi outcome cohort,Not established in reviewed material,58 ovarian PARPi-treated patients,"24K test AUC 0.996, accuracy 95.5%; 24K/72K r=0.89; PARPi PFS 9.4 vs 4.4 months",SVM probability used; formal calibration and individual uncertainty not reported,Yes with the validated SNP panel and frozen SVM,Breast/ovarian only,"BWA, GATK, MuTect2, ANNOVAR, Sequenza, scikit-learn 0.22.1",Not established in reviewed material,Interpretable allele-specific CN features and cross-panel comparison,Extreme-group design inflates discrimination; no pediatric/cancer-held-out transfer; probability scale differs from HRDsum,Serious secondary model comparator if allele-aware data are available,Do not port its features to methylation total CN; possible WGS-reference comparator after development,"Despite broad wording about chromosomal CN, the model requires Sequenza BAF-derived allele-specific CN and purity/ploidy.",Its high AUC does not show canonical scars can be obtained from methylation total CN.,Do not replace elastic-net CpG regression; consider only as an allele-aware genomic comparator.
L13,Clinical evaluation of a low-coverage whole-genome test for detecting homologous recombination deficiency in ovarian cancer.,2024,HRD / assays,https://pubmed.ncbi.nlm.nih.gov/38471290/,../papers/2024_Clinical_evaluation_of_a_low_coverage_whole_genome_test_for_detecting_homologous.pdf,"pp. 1,3; local preprint",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,PAOLA-1 ovarian,368,Shallow WGS,Not established in reviewed material,MyChoice comparator and PFS,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Retrospective paired assays,Not established in reviewed material,Not established in reviewed material,"95% concordance, CI 92-97%",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Assay agreement,Not established in reviewed material,The local file is a medRxiv preprint version of a shallow-WGS HRD evaluation.,Its clinical agreement cannot establish methylation-CN equivalence.,Use paired-assay validation design; verify final version before citing clinical conclusions.
L14,Leveraging Off-Target Reads in Panel Sequencing for Homologous Recombination Repair Deficiency Screening in Tumor.,2024,HRD / assays,https://pubmed.ncbi.nlm.nih.gov/38522840/,../papers/2024_Leveraging_Off_Target_Reads_in_Panel_Sequencing_for_Homologous_Recombination_Rep.pdf,"pp. 2-4,6",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,UKHD panel cohort; selected WES subset,1843 panel samples; 34 WES reference cases,"TSO500 off-target reads, paired WES",Not established in reviewed material,WES modified scarHRD,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,GATK 100 kb OTR bins; 30 normals; Sequenza WES,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Linear HRDest bridging factor,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,OTR/WES Spearman 0.89; AUC 0.90 (0.79-1) in 34 cases,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Small selected reference; portability unproven,Surrogate precedent and naming conflict,Not established in reviewed material,Calls OTR features TAI+LST despite sparse SNP information; multiplies by 1.2 for HRDest (1.3 in TCGA/WES-only comparison). Reference cases span a selected wide score range.,TAI terminology does not prove allele recovery. Range selection and calibration/evaluation reuse limit transportability.,Name our total-CN telomere feature telomeric_CNV_burden; require paired allele-specific validation.
L15,"Recommendations for Clinical Molecular Laboratories for Detection of Homologous Recombination Deficiency in Cancer: A Joint Consensus Recommendation of the Association for Molecular Pathology, Association of Cancer Care Centers, and College of American Pathologists.",2025,HRD / clinical methods,https://pubmed.ncbi.nlm.nih.gov/40517897/,../papers/1-s2.0-S1525157825001369-main.pdf,pp. 1-16; recommendations pp. 10-14,Newly available consensus article; recommendations and validation sections reviewed,REFINES CURRENT PLAN,Scoping review of human tissue studies plus international laboratory survey,140 survey respondents (61 performing/validating HRD); 62 reviewed studies assessed HRR promoter methylation,Multiple clinical molecular methods,Not established in reviewed material,No universal definition; components and composite must be declared,Not established in reviewed material,Consensus requires the laboratory to state the operational definition; no single universal rule imposed,Consensus requires the laboratory to state the operational definition; no single universal rule imposed,Consensus requires the laboratory to state the operational definition; no single universal rule imposed,Varies by validated assay,Specimen and tumor-content requirements must be validated and reported; no single caller prescribed,Not established in reviewed material,Not established in reviewed material,Not applicable; multiple assay families considered,Not established in reviewed material,"Consensus recommendations, not a predictive model",Not established in reviewed material,Not established in reviewed material,"Double-reviewed scoping extraction, survey, external review and consensus vote",Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Tumor-specific cutoffs and individual/composite performance should be validated; no universal calibration,Guidance applies to clinical single-sample assays,Requires tumor-specific cutoffs or explicit insufficient-evidence statement,Not established in reviewed material,Not established in reviewed material,Current laboratory validation/reporting guidance,Does not establish clinical utility or validate methylation-to-HRDsum prediction,Validation/reporting contract,"Record tumor content, comparator use, loci/distribution, components, algorithm, cutoff provenance and individual/composite performance","The consensus recommends declaring specimen/tumor-content requirements, validating BRCA-wild-type HRD-positive samples, documenting each scar and its detection method, and using tumor-specific cutoffs. BRCA1/RAD51C promoter methylation may be considered, but relevant thresholds remain unclear.",A pan-cancer binary threshold or unlabeled composite would be scientifically weak for KIDS26.,Keep continuous output primary; add assay provenance and tumor-specific cutoff warnings; make promoter methylation an orthogonal annotation.
L16,Patient Assessment and Therapy Planning Based on Homologous Recombination Repair Deficiency.,2023,HRD / review,https://pubmed.ncbi.nlm.nih.gov/36791952/,../papers/2023_Patient_Assessment_and_Therapy_Planning_Based_on_Homologous_Recombination_Repair.pdf,pp. 1-3,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Review,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Claims,Not established in reviewed material,Reviews non-equivalent HRD assays and breast/ovarian origin of GIS 42.,Public scar sums cannot inherit commercial clinical claims.,"Separate phenotype, assay, cutoff and clinical endpoint."
L17,Biomarkers for Homologous Recombination Deficiency in Cancer.,2018,HRD / review,https://pubmed.ncbi.nlm.nih.gov/29788099/,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,HRD / review,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L18,Biomarkers for Homologous Recombination Deficiency in Cancer.,2021,HRD / review,https://pubmed.ncbi.nlm.nih.gov/34203281/,../papers/2021_Biomarkers_for_Homologous_Recombination_Deficiency_in_Cancer.pdf,"pp. 1,8",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Review,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Target limits,Not established in reviewed material,Discusses combined scars and limitations for current repair status.,HRDsum is a historical phenotype.,Add functional corroboration later.
L19,Homologous Recombination Repair Deficiency: An Overview for Pathologists.,2023,HRD / review,https://pubmed.ncbi.nlm.nih.gov/36788098/,../papers/1-s2.0-S089339522200480X-main.pdf,pp. 1-7,Newly available review; relevant definitions/limitations reviewed,CONFIRMS CURRENT PLAN,"Review across breast, ovarian, prostate, pancreatic and other cancers",Not applicable - narrative review,"HRR gene panels, genomic scars, mutational signatures and functional assays",Not established in reviewed material,Multiple non-equivalent biomarker classes,Not established in reviewed material,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Not established in reviewed material,Not established in reviewed material,Absent from reviewed paper or not reported,Not established in reviewed material,Narrative review,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Absent from reviewed paper or not reported,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Some glossary definitions simplify canonical algorithms,Assay-claim boundaries,Not established in reviewed material,"Low tumor purity and heterogeneity impair mutation, scar and signature detection; scars can reflect etiology without proving current HR function.",KIDS26 requires purity-aware evaluation and cannot make therapy claims from predicted historical scars.,Preserve research-only continuous phenotype language and orthogonal functional corroboration roadmap.
L20,"Homologous recombination deficiency in breast cancer: Implications for risk, cancer development, and therapy.",2021,HRD / review,https://pubmed.ncbi.nlm.nih.gov/33247475/,../papers/2021_Homologous_recombination_deficiency_in_breast_cancer_Implications_for_risk_cance.pdf,"pp. 13,18; manuscript",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Review,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Claims,Not established in reviewed material,Discusses breast HRD and persistent scars after repair-restoring reversion.,Therapy response and scar prediction differ.,No therapeutic eligibility from prototype.
L21,ESMO recommendations on predictive biomarker testing for homologous recombination deficiency and PARP inhibitor benefit in ovarian cancer.,2020,PARP / clinical,https://pubmed.ncbi.nlm.nih.gov/33004253/,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,PARP / clinical,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L22,Ovarian Cancer Therapy: Homologous Recombination Deficiency as a Predictive Biomarker of Response to PARP Inhibitors.,2022,PARP / clinical,https://pubmed.ncbi.nlm.nih.gov/36217436/,../papers/2022_Ovarian_Cancer_Therapy_Homologous_Recombination_Deficiency_as_a_Predictive_Bioma.pdf,pp. 1-6,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Review,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Context,Not established in reviewed material,Summarizes ovarian PARPi trials and HRD assays at publication.,Historical drug indications are time dependent.,Biological background only.
L23,Comparison of PARPi efficacy according to homologous recombination deficiency biomarkers in patients with ovarian cancer: a systematic review and meta-analysis.,2023,PARP / clinical,https://pubmed.ncbi.nlm.nih.gov/37211773/,../papers/113706-PB12-2453-R2.pdf,pp. 1-7,Newly available systematic review/meta-analysis; methods/results reviewed,CONFIRMS CURRENT PLAN,Randomized ovarian PARPi trials,Trials/subgroups vary; pooled trial-level biomarker comparisons,"BRCA mutation, genomic LOH, or myChoice GIS depending on trial",Not established in reviewed material,Trial-specific non-equivalent HRD biomarkers,Not established in reviewed material,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Not established in reviewed material,Not established in reviewed material,Absent from reviewed paper or not reported,Not established in reviewed material,Random-effects meta-analysis,Not established in reviewed material,Not established in reviewed material,PRISMA review; protocol CRD42021248112,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Absent from reviewed paper or not reported,Depends on contributing clinical assay,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Directly compares clinical enrichment across biomarker definitions,Aggregate heterogeneous trials; no methylation-array HRD method,Clinical context only,Not established in reviewed material,The meta-analysis treats Foundation genomic LOH and myChoice LOH+TAI+LST as different biomarker definitions.,Correlated scar assays are not interchangeable labels.,Keep one versioned reference endpoint and do not inherit clinical claims.
L24,BRCAness revisited.,2016,PARP / review,https://pubmed.ncbi.nlm.nih.gov/26775620/,../papers/nrc.2015.21.pdf,pp. 1-10,Newly available review; relevant biology/scar sections reviewed,CONFIRMS CURRENT PLAN,Review across BRCAness cancers,Not applicable - narrative review,"Genomic, expression, methylation and functional evidence discussed",Not established in reviewed material,Mechanistic BRCAness rather than one operational score,Not established in reviewed material,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Not established in reviewed material,Not established in reviewed material,Absent from reviewed paper or not reported,Not established in reviewed material,Narrative review,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Absent from reviewed paper or not reported,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Predates many current assays and does not validate methylation-array prediction,Biological interpretation,Not established in reviewed material,Genomic scars portray tumor history and may be collateral consequences rather than current drivers.,A scar predictor is not a direct functional-HR measurement.,Maintain historical-scar language and separate current resistance mechanisms.
L25,PARP inhibitors: Synthetic lethality in the clinic.,2017,PARP / review,https://pubmed.ncbi.nlm.nih.gov/28302823/,../papers/2017_PARP_inhibitors_Synthetic_lethality_in_the_clinic.pdf,pp. 1-4,Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Review,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Biology,Not established in reviewed material,"Reviews PARP synthetic lethality, unrelated to synthetic-data generation.",Mechanism motivates but does not validate prediction.,Background only.
L26,PARP Inhibitors as a Therapeutic Agent for Homologous Recombination Deficiency in Breast Cancers.,2019,PARP / review,https://pubmed.ncbi.nlm.nih.gov/30934991/,../papers/2019_PARP_Inhibitors_as_a_Therapeutic_Agent_for_Homologous_Recombination_Deficiency_in_.pdf,"pp. 1,10-11",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Review,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Biology,Not established in reviewed material,Reviews breast PARPi mechanisms and trials.,Adult efficacy does not validate pediatric scar predictions.,Research phenotype claims only.
L27,DNA repair biomarkers to guide usage of combined PARP inhibitors and chemotherapy: A meta-analysis and systematic review.,2023,PARP / biomarkers,https://pubmed.ncbi.nlm.nih.gov/37717683/,../papers/1-s2.0-S1043661823002839-main.pdf,pp. 1-11,Newly available systematic review/meta-analysis; methods/results reviewed,INTERESTING BUT NOT HACKATHON-CRITICAL,Nine combination-therapy studies across cancers,"2,547 patients","BRCA1/2, HRD assays, ATM, ERCC1 or SLFN11 depending on trial",Not established in reviewed material,Heterogeneous DNA-repair biomarkers,Not established in reviewed material,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Not established in reviewed material,Not established in reviewed material,Absent from reviewed paper or not reported,Not established in reviewed material,Fixed/random-effects inverse-variance meta-analysis,Not established in reviewed material,Not established in reviewed material,Systematic review with biomarker and malignancy subgroups,Not established in reviewed material,Not established in reviewed material,Biomarker-positive PFS HR 0.57; biomarker-negative HR 0.94,Absent from reviewed paper or not reported,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,"Combination therapy, heterogeneous biomarkers, no methylation-array predictor",Clinical motivation only,Not established in reviewed material,The clinical meta-analysis pools distinct DNA-repair biomarkers and does not validate a common numeric HRD scale.,Clinical enrichment cannot validate predicted TCGA HRDsum.,Do not use treatment response as the hackathon training target.
L28,"Rucaparib maintenance treatment for recurrent ovarian carcinoma after response to platinum therapy (ARIEL3): a randomised, double-blind, placebo-controlled, phase 3 trial.",2017,PARP / trial,https://pubmed.ncbi.nlm.nih.gov/28916367/,../papers/nihms956813.pdf,pp. 1-15,Newly available trial manuscript; biomarker design/results reviewed,CONFIRMS CURRENT PLAN,ARIEL3 recurrent platinum-sensitive high-grade ovarian carcinoma,564 randomized patients,Foundation Medicine targeted NGS; BRCA mutation and genome-wide LOH,SNP/read-depth genome-wide LOH from targeted sequencing,"Nested BRCA-mutant, HRD (BRCA mutation or high LOH), and intention-to-treat groups","Percent genome-wide LOH, not LOH+LST+TAI HRDsum",Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Not established in reviewed material,Not established in reviewed material,Absent from reviewed paper or not reported,Not established in reviewed material,Randomized phase III treatment trial,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not applicable; trial endpoints,Not established in reviewed material,Absent from reviewed paper or not reported,Yes with the commercial assay,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Clinical biomarker and cutoff differ from canonical HRDsum,Illustrates non-equivalent scar targets,Not established in reviewed material,"ARIEL3 used genome-wide LOH, not the three-component HRDsum.",Its clinical threshold cannot calibrate KIDS26.,Preserve endpoint names and provenance.
L29,Homologous Recombination Repair Gene Mutations to Predict Olaparib Plus Bevacizumab Efficacy in the First-Line Ovarian Cancer PAOLA-1/ENGOT-ov25 Trial.,2023,PARP / trial,https://pubmed.ncbi.nlm.nih.gov/36716415/,../papers/2023_Homologous_Recombination_Repair_Gene_Mutations_to_Predict_Olaparib_Plus_Bevacizu.pdf,"pp. 1,3,8",Local abstract and relevant methods/results reviewed; supplementary gaps retained,Not established in reviewed material,PAOLA-1 ovarian,806 randomized; small gene-panel subsets,MyChoice HRD Plus,Not established in reviewed material,GIS>=42 and trial BRCA definitions,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Clinical subgroup analysis,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Ground truth,Not established in reviewed material,Non-BRCA HRR mutation panels did not predict maintenance benefit; biallelic frequencies varied.,Any HRR mutation is not a universal positive label.,Use curated biallelic defects as corroboration.
L30,Clinical and molecular characteristics of ARIEL3 patients who derived exceptional benefit from rucaparib maintenance treatment for high-grade ovarian carcinoma.,2022,PARP / biomarkers,https://pubmed.ncbi.nlm.nih.gov/36273926/,,,Unavailable locally; metadata only; no methods inferred,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,PARP / biomarkers,Not established in reviewed material,Listed in supplied map; full text unavailable locally.,No methodological inference from title.,Verify relevant methods before relying on this reference.
L31,BRCA1 gene promoter methylation status in high-grade serous ovarian cancer patients--a study of the tumour Bank ovarian cancer (TOC) and ovarian cancer diagnosis consortium (OVCAD).,2014,Methylation / BRCA1,https://pubmed.ncbi.nlm.nih.gov/24889916/,../papers/1-s2.0-S0959804914006492-main.pdf,pp. 1-7,Newly available full article; assay and outcome sections reviewed,CONFIRMS CURRENT PLAN,Primary high-grade serous ovarian cancer,257; BRCA1 exon-11-negative subgroup 107,Targeted BRCA1 promoter methylation PCR on fresh-frozen tissue,Selected promoter-region methylation,No genomic HRDsum; association with clinical features/survival,Not established in reviewed material,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Absent from reviewed paper or not reported,Not established in reviewed material,Not established in reviewed material,Absent from reviewed paper or not reported,Not established in reviewed material,Clinical association study,Not established in reviewed material,Not established in reviewed material,Mutation-negative subgroup analysis; no external cohort,Not established in reviewed material,Not established in reviewed material,14.8% hypermethylated; no significant PFS/OS association,Absent from reviewed paper or not reported,Yes for the targeted assay,No,Not established in reviewed material,Not established in reviewed material,Not established in reviewed material,Single promoter region; no allele dosage or genomic-scar validation,Orthogonal current-mechanism annotation,Not established in reviewed material,BRCA1 promoter methylation alone was not associated with PFS or OS in this cohort.,Single-gene methylation is neither a universal HRD label nor a substitute for HRDsum.,"Keep promoter status as an orthogonal feature/interpretation, not primary ground truth."
